membership	membership.1	membership.2	membership.3	membership.4	membership.5	membership.6
MCL-28	1	1	1	1	1	1	1
UNMC-59	2	2	2	2	2	2	2
HUMC-8	3	3	3	2	2	2	3
UNMC-81	1	4	3	3	3	3	4
UNMC-18	1	2	2	4	2	4	5
HUMC-7	2	2	2	2	3	2	6
UNMC-16	2	2	2	2	3	2	6
UNMC-7	1	4	3	3	4	3	7
S92-5	4	4	4	5	5	4	8
UNMC-33	3	5	4	6	6	5	5
WCM062	2	2	2	2	2	2	2
GROUP4-9	3	3	3	7	7	4	3
UNMC-68-A2	4	4	5	5	8	6	9
M47-024	4	4	5	5	8	6	9
SPECS-3163	4	4	5	5	8	6	9
UNMC-5	2	2	2	2	2	2	6
S94-7	4	4	5	5	8	6	9
GROUP7-1	3	3	3	7	7	7	4
M47-027	3	3	3	7	7	7	3
SPECS-3155	4	4	5	5	8	6	9
GROUP7-15	1	1	1	1	1	1	1
WCM032	4	4	4	5	5	8	5
HUMC3	2	2	2	2	2	2	2
IA04	3	5	2	6	6	8	8
HUMC-15	3	5	3	3	3	3	6
IA1857	4	5	2	4	7	8	8
GROUP6-2	4	4	5	5	8	6	9
GROUP5-9	3	4	4	4	5	4	5
GROUP4-2	1	2	1	2	1	4	6
UNMC-62	4	5	2	4	7	8	8
SPECS-1917	4	4	5	5	8	6	9
IA2852	3	5	4	4	7	8	10
MCL-38	1	1	1	1	1	1	1
GROUP5-6	2	2	2	2	3	2	6
MCL-138	2	2	2	2	3	2	6
GROUP4-7	3	5	2	6	6	5	5
MCL-98	1	1	1	1	1	1	1
GROUP7-17	3	3	3	7	7	7	3
M47-029	3	5	4	6	6	5	5
M22-51	2	2	2	2	3	4	6
HUMC-6	2	2	2	2	2	2	4
S03-3	1	2	2	2	2	2	2
MCL-14	2	2	2	2	3	2	6
MCL-37	3	5	4	6	6	3	7
MCL-33	1	2	2	6	6	5	2
IA2268	3	3	3	7	7	7	3
GROUP4-1	1	2	1	2	3	4	6
GROUP4-4	3	5	3	6	7	7	3
MCL-40	3	5	3	6	7	7	5
GROUP7-13	1	2	2	2	2	2	2
UNMC-20	2	2	2	2	3	2	6
UNMC-69	2	2	2	2	3	2	6
SPECS-3158	4	4	5	5	8	6	9
IA4227	4	4	4	6	6	6	5
GROUP6-4	1	2	1	1	1	2	6
GROUP6-3	2	2	2	2	3	2	6
UNMC-28	1	1	1	4	1	1	2
SPECS-3157	4	4	5	5	8	6	9
MCL-39	2	2	2	2	3	2	6
MCL-42	1	4	3	3	4	3	7
UNMC-90	2	2	3	2	2	2	2
UNMC-48	3	5	4	6	6	5	5
GROUP7-6	3	5	4	6	7	5	5
GROUP5-4	2	2	2	2	3	8	4
IA68	3	2	3	3	3	3	4
GROUP7-11	1	1	1	1	1	1	1
UNMC-6	3	3	3	7	7	8	3
SC86-6	1	4	3	3	4	3	7
IA4885	3	3	3	3	4	3	7
UNMC-55	1	4	3	3	4	3	7
UNMC-47	3	5	4	6	6	5	5
UNMC-87	4	4	4	6	6	8	5
GROUP7-9	3	3	3	7	7	7	3
GROUP7-20	3	3	6	4	7	9	3
GROUP5-10	4	4	5	5	8	6	3
UNMC-64	1	2	2	2	2	2	2
IA2745	1	1	1	1	1	4	4
HUMC4	2	2	2	2	3	2	6
UNMC-79-C1	4	4	4	3	8	5	9
IA2084	4	1	1	6	6	1	5
IA4203	4	5	4	6	6	5	5
IA1147	2	2	2	2	3	2	4
UNMC-61	4	4	5	5	8	6	9
MCL-128	1	1	1	1	1	1	1
GROUP7-14	1	3	3	7	4	7	3
GROUP4-6	4	2	2	2	2	8	4
GROUP7-2	1	1	1	2	1	2	2
HUMC5	3	3	3	7	7	7	3
MCL-35	1	1	1	1	1	1	1
MCL-75	4	4	5	4	2	8	8
UNMC-24	3	3	3	4	5	9	10
M47-023	3	3	3	4	4	9	3
UNMC-86	3	3	4	4	7	8	10
GROUP5-1	4	4	5	5	8	6	9
GROUP5-5	3	3	3	7	7	7	3
UNMC-8	1	1	1	3	1	1	1
GROUP6-1	1	1	1	1	5	1	1
UNMC-23	1	1	1	1	1	1	1
MCL-71	1	1	1	1	1	1	1
IA4289	4	3	6	4	5	9	10
S08-1	2	3	3	7	4	3	7
UNMC-84	3	3	3	7	4	3	7
SC02-11	1	4	5	3	8	3	9
UNMC-44	1	1	1	6	6	5	5
M47-022	1	3	3	3	4	3	7
BC04	1	3	3	3	4	3	7
HUMC-9	4	4	4	4	5	4	9
GROUP7-22	3	3	4	4	5	4	5
M47-3	1	1	1	1	1	4	1
UNMC-51	3	3	3	4	5	4	7
GROUP4-3	3	5	4	4	7	8	10
WCM045	4	4	4	5	8	5	5
UNMC-31	1	1	3	2	2	2	2
GROUP7-5	2	4	5	7	7	7	9
GROUP4-8	4	4	4	3	6	8	5
UNMC-97	1	2	2	2	2	4	4
HUMC1	2	2	6	4	2	2	2
MCL-61	1	2	2	2	2	2	2
S87-4	4	4	5	5	8	6	9
UNMC-85	3	5	4	7	7	7	3
SC08-2	4	4	5	5	8	6	9
S06-166	4	4	5	5	8	6	9
IA2334	3	5	4	4	7	8	10
MCL-122	3	5	4	4	7	8	10
GROUP5-3	1	1	1	1	1	1	1
GROUP5-7	1	1	1	1	1	1	1
S89-9	4	4	5	5	8	6	9
GROUP4-5	1	1	2	1	2	2	2
M47-025	2	3	3	7	7	7	3
IA834	3	3	3	7	7	7	3
HUMC-12	1	2	2	2	2	2	6
UNMC-88	1	1	1	1	2	2	2
GROUP4-11	4	4	4	5	7	8	9
UNMC-39	1	2	3	2	2	2	2
MCL-25	2	2	2	2	3	2	4
HUMC-10	4	4	5	5	8	6	9
GROUP7-19	1	1	3	1	1	4	4
GROUP5-8	3	3	3	4	5	4	5
SPECS-3164	4	5	4	6	6	5	5
UNMC-71-A5	4	5	4	6	6	5	5
MCL-24	1	1	1	1	1	1	1
UNMC-37	1	1	1	1	1	1	1
IA-02	1	1	1	2	1	7	4
GROUP7-3	1	2	2	2	2	4	4
S03-8	4	4	5	4	2	8	8
GROUP5-2	1	2	2	2	2	2	2
GROUP4-10	2	2	2	2	3	2	6
MCL-45	1	1	3	7	7	7	3
MCL-109	1	1	1	1	1	1	1
